Crop,Disease,ScientificName,Symptoms,Treatment,Region
Rice,Rice Blast,Magnaporthe oryzae,Diamond-shaped grey lesions with brown margins on leaves; neck rot,Use resistant varieties; apply tricyclazole or azoxystrobin fungicide; avoid excess nitrogen,Worldwide
Rice,Bacterial Leaf Blight,Xanthomonas oryzae,Water-soaked stripes on leaf margins turning yellow to white,Use resistant varieties; copper-based bactericides; avoid flood irrigation during outbreaks,Asia
Rice,Sheath Blight,Rhizoctonia solani,Oval greenish-grey lesions on leaf sheath near water line,Fungicide (hexaconazole); wider plant spacing; balanced fertilization,Worldwide
Rice,Bakanae Disease,Fusarium fuseikuroi,Abnormally tall; thin; pale yellow seedlings,Seed treatment with fungicide; use certified disease-free seed,Asia
Rice,Tungro Virus,Rice tungro bacilliform virus,Yellow-orange leaf discoloration; stunted growth,Control leafhopper vector; resistant varieties,Asia
Wheat,Wheat Rust (Stem),Puccinia graminis,Reddish-brown pustules on stems and leaves,Resistant varieties; triazole fungicides,Worldwide
Wheat,Wheat Rust (Yellow/Stripe),Puccinia striiformis,Yellow stripes of pustules along leaf veins,Resistant varieties; propiconazole spray,Worldwide
Wheat,Powdery Mildew,Blumeria graminis,White powdery fungal growth on leaves and stems,Sulfur or triazole fungicide; resistant varieties,Worldwide
Wheat,Karnal Bunt,Tilletia indica,Fishy odor grains partially blackened,Seed treatment; resistant varieties; crop rotation,South Asia
Wheat,Loose Smut,Ustilago tritici,Black powdery mass replacing grain head,Systemic fungicide seed treatment,Worldwide
Cotton,Bacterial Blight,Xanthomonas citri pv. malvacearum,Angular water-soaked leaf spots turning black,Resistant varieties; copper spray; seed treatment,Worldwide
Cotton,Cotton Leaf Curl Virus,Begomovirus,Upward leaf curling; vein thickening; stunted growth,Control whitefly vector; resistant varieties,South Asia
Cotton,Fusarium Wilt,Fusarium oxysporum f. sp. vasinfectum,Yellowing and wilting starting from lower leaves,Resistant varieties; crop rotation; soil fumigation,Worldwide
Cotton,Verticillium Wilt,Verticillium dahliae,Interveinal yellowing and leaf drop,Resistant varieties; crop rotation,Worldwide
Cotton,Boll Rot,Various fungi/bacteria,Bolls rot and darken before opening,Timely defoliation; avoid excess moisture,Worldwide
Sugarcane,Red Rot,Colletotrichum falcatum,Red discoloration inside stalk with white patches,Resistant varieties; disease-free setts,Asia
Sugarcane,Smut,Sporisorium scitamineum,Black whip-like structure emerging from growing point,Resistant varieties; hot water treatment of setts,Worldwide
Sugarcane,Ratoon Stunting Disease,Leifsonia xyli,Stunted growth; reduced yield with no clear external symptoms,Use disease-free setts; hot water treatment,Worldwide
Maize (Corn),Northern Corn Leaf Blight,Exserohilum turcicum,Long grey-green cigar-shaped lesions on leaves,Resistant hybrids; fungicide if severe,Worldwide
Maize (Corn),Common Rust,Puccinia sorghi,Small reddish-brown pustules on both leaf surfaces,Resistant hybrids; fungicide,Worldwide
Maize (Corn),Maize Streak Virus,Mastrevirus,Yellow streaks parallel to leaf veins; stunting,Control leafhopper vector; resistant varieties,Africa
Maize (Corn),Downy Mildew,Peronosclerospora spp.,Chlorotic streaking; stunted; bushy growth,Resistant varieties; seed treatment with metalaxyl,Asia
Potato,Late Blight,Phytophthora infestans,Dark water-soaked lesions on leaves; white mold on underside,"Fungicide (metalaxyl, mancozeb); resistant varieties",Worldwide
